sample_id,mineral,measurement,h5_path,desc_path,h5_shape,n_bands,in_library,notes
0000,Celestite,A,raw\0000\0000_A.hdr.h5,raw\0000\0000_description.txt,256x320x410,410,True,bands=410 (expected 256)
0001,Celestite,A,raw\0001\0001_A.hdr.h5,raw\0001\0001_description.txt,256x320x410,410,True,bands=410 (expected 256)
0002,Celestite,A,raw\0002\0002_A.hdr.h5,raw\0002\0002_description.txt,256x320x410,410,True,bands=410 (expected 256)
0003,Fluorite,A,raw\0003\0003_A.hdr.h5,raw\0003\0003_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0003,Fluorite,B,raw\0003\0003_B.hdr.h5,raw\0003\0003_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0004,Anhydrite,A,raw\0004\0004_A.hdr.h5,raw\0004\0004_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0005,Gypsum,A,raw\0005\0005_A.hdr.h5,raw\0005\0005_description.txt,256x320x435,435,True,bands=435 (expected 256)
0005,Gypsum,B,raw\0005\0005_B.hdr.h5,raw\0005\0005_description.txt,256x320x435,435,True,bands=435 (expected 256)
0006,Barite,A,raw\0006\0006_A.hdr.h5,raw\0006\0006_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0007,Gypsum,A,raw\0007\0007_A.hdr.h5,raw\0007\0007_description.txt,256x320x410,410,True,bands=410 (expected 256)
0008,Halite,A,raw\0008\0008_A.hdr.h5,raw\0008\0008_description.txt,256x320x410,410,True,bands=410 (expected 256)
0009,Quartz,A,raw\0009\0009_A.hdr.h5,raw\0009\0009_description.txt,256x320x410,410,True,bands=410 (expected 256)
0009,Quartz,B,raw\0009\0009_B.hdr.h5,raw\0009\0009_description.txt,256x320x410,410,True,bands=410 (expected 256)
0010,Calcite,A,raw\0010\0010_A.hdr.h5,raw\0010\0010_description.txt,256x320x410,410,True,bands=410 (expected 256)
0011,Calcite,A,raw\0011\0011_A.hdr.h5,raw\0011\0011_description.txt,256x320x410,410,True,bands=410 (expected 256)
0012,Fluorite,A,raw\0012\0012_A.hdr.h5,raw\0012\0012_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0012,Fluorite,B,raw\0012\0012_B.hdr.h5,raw\0012\0012_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0013,Chlorite,A,raw\0013\0013_A.hdr.h5,raw\0013\0013_description.txt,256x320x410,410,True,bands=410 (expected 256)
0014,Andalusite,A,raw\0014\0014_A.hdr.h5,raw\0014\0014_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0016,Glaucophane,A,raw\0016\0016_A.hdr.h5,raw\0016\0016_description.txt,256x320x410,410,True,bands=410 (expected 256)
0017,Glaucophane,A,raw\0017\0017_A.hdr.h5,raw\0017\0017_description.txt,256x320x410,410,True,bands=410 (expected 256)
0018,Serpentine,A,raw\0018\0018_A.hdr.h5,raw\0018\0018_description.txt,256x320x410,410,True,bands=410 (expected 256)
0019,Omphacite,A,raw\0019\0019_A.hdr.h5,raw\0019\0019_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0020,Actinolite,A,raw\0020\0020_A.hdr.h5,raw\0020\0020_description.txt,256x320x410,410,True,bands=410 (expected 256)
0021,Actinolite,A,raw\0021\0021_A.hdr.h5,raw\0021\0021_description.txt,256x320x410,410,True,bands=410 (expected 256)
0022,Talc,A,raw\0022\0022_A.hdr.h5,raw\0022\0022_description.txt,256x320x410,410,True,bands=410 (expected 256)
0023,Epidote,A,raw\0023\0023_A.hdr.h5,raw\0023\0023_description.txt,256x320x410,410,True,bands=410 (expected 256)
0024,Epidote,A,raw\0024\0024_A.hdr.h5,raw\0024\0024_description.txt,256x320x410,410,True,bands=410 (expected 256)
0025,Almandine,A,raw\0025\0025_A.hdr.h5,raw\0025\0025_description.txt,256x320x410,410,True,bands=410 (expected 256)
0026,Almandine,A,raw\0026\0026_A.hdr.h5,raw\0026\0026_description.txt,256x320x410,410,True,bands=410 (expected 256)
0027,Staurolite,A,raw\0027\0027_A.hdr.h5,raw\0027\0027_description.txt,256x320x410,410,True,bands=410 (expected 256)
0028,Staurolite,A,raw\0028\0028_A.hdr.h5,raw\0028\0028_description.txt,256x320x410,410,True,bands=410 (expected 256)
0029,Kyanite,A,raw\0029\0029_A.hdr.h5,raw\0029\0029_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0030,Grossular,A,raw\0030\0030_A.hdr.h5,raw\0030\0030_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0031,Grossular,A,raw\0031\0031_A.hdr.h5,raw\0031\0031_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0032,Sillimanite,A,raw\0032\0032_A.hdr.h5,raw\0032\0032_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0033,Sillimanite,A,raw\0033\0033_A.hdr.h5,raw\0033\0033_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0034,Muscovite,A,raw\0034\0034_A.hdr.h5,raw\0034\0034_description.txt,256x320x410,410,True,bands=410 (expected 256)
0035,Quartz,A,raw\0035\0035_A.hdr.h5,raw\0035\0035_description.txt,256x320x410,410,True,bands=410 (expected 256)
0036,Sulfur,A,raw\0036\0036_A.hdr.h5,raw\0036\0036_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0037,Sulfur,A,raw\0037\0037_A.hdr.h5,raw\0037\0037_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0038,Augite,A,raw\0038\0038_A.hdr.h5,raw\0038\0038_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0039,Hematite,A,raw\0039\0039_A.hdr.h5,raw\0039\0039_description.txt,256x320x410,410,True,bands=410 (expected 256)
0039,Hematite,B,raw\0039\0039_B.hdr.h5,raw\0039\0039_description.txt,256x320x410,410,True,bands=410 (expected 256)
0040,Talc,A,raw\0040\0040_A.hdr.h5,raw\0040\0040_description.txt,256x320x410,410,True,bands=410 (expected 256)
0041,Talc,A,raw\0041\0041_A.hdr.h5,raw\0041\0041_description.txt,256x320x410,410,True,bands=410 (expected 256)
0042,Pyrite,A,raw\0042\0042_A.hdr.h5,raw\0042\0042_description.txt,256x320x410,410,True,bands=410 (expected 256)
0043,Sodalite,A,raw\0043\0043_A.hdr.h5,raw\0043\0043_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0044,Tourmaline,A,raw\0044\0044_A.hdr.h5,raw\0044\0044_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
